|X	Y|
0	1
0.02	0.98
0.04	1.9404
0.06	3.842
0.08	7.6071
0.1	15.062
0.12	29.823
0.14	59.05
0.16	116.92
0.18	231.5
0.2	458.37
0.22	907.57
0.24	1797
0.26	3558
0.28	7044.9
0.3	13949
0.32	27619
0.34	54685
0.36	1.0828e+05
0.38	2.1439e+05
0.4	4.2449e+05
0.42	8.4048e+05
0.44	1.6642e+06
0.46	3.295e+06
0.48	6.5242e+06
0.5	1.2918e+07
0.52	2.5577e+07
0.54	5.0643e+07
0.56	1.0027e+08
0.58	1.9854e+08
0.6	3.9311e+08
0.62	7.7836e+08
0.64	1.5412e+09
0.66	3.0515e+09
0.68	6.042e+09
0.7	1.1963e+10
0.72	2.3687e+10
0.74	4.69e+10
0.76	9.2862e+10
0.78	1.8387e+11
0.8	3.6406e+11
0.82	7.2083e+11
0.84	1.4272e+12
0.86	2.8259e+12
0.88	5.5954e+12
0.9	1.1079e+13
0.92	2.1936e+13
0.94	4.3434e+13
0.96	8.5998e+13
0.98	1.7028e+14
